DT Results:
Attributes: ('volatile acidity', 'residual sugar', 'total sulfur dioxide'), Accuracy: 0.71000, Precision: 0.71057, Recall: 0.71000
Attributes: ('volatile acidity', 'residual sugar', 'density'), Accuracy: 0.70692, Precision: 0.72326, Recall: 0.70692
Attributes: ('volatile acidity', 'residual sugar', 'pH'), Accuracy: 0.67154, Precision: 0.68621, Recall: 0.67154
Attributes: ('volatile acidity', 'residual sugar', 'sulphates'), Accuracy: 0.69308, Precision: 0.70059, Recall: 0.69308
Attributes: ('volatile acidity', 'residual sugar', 'alcohol'), Accuracy: 0.72231, Precision: 0.73434, Recall: 0.72231
Attributes: ('volatile acidity', 'chlorides', 'free sulfur dioxide'), Accuracy: 0.65846, Precision: 0.68994, Recall: 0.65846
Attributes: ('volatile acidity', 'chlorides', 'total sulfur dioxide'), Accuracy: 0.68385, Precision: 0.69827, Recall: 0.68385
Attributes: ('volatile acidity', 'chlorides', 'density'), Accuracy: 0.68615, Precision: 0.70309, Recall: 0.68615
Attributes: ('volatile acidity', 'chlorides', 'pH'), Accuracy: 0.68000, Precision: 0.70487, Recall: 0.68000
Attributes: ('volatile acidity', 'chlorides', 'sulphates'), Accuracy: 0.69692, Precision: 0.71520, Recall: 0.69692
Attributes: ('volatile acidity', 'chlorides', 'alcohol'), Accuracy: 0.72077, Precision: 0.72584, Recall: 0.72077
Attributes: ('volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide'), Accuracy: 0.68846, Precision: 0.70366, Recall: 0.68846
Attributes: ('volatile acidity', 'free sulfur dioxide', 'density'), Accuracy: 0.71000, Precision: 0.71369, Recall: 0.71000
Attributes: ('volatile acidity', 'free sulfur dioxide', 'pH'), Accuracy: 0.66769, Precision: 0.67540, Recall: 0.66769
Attributes: ('volatile acidity', 'free sulfur dioxide', 'sulphates'), Accuracy: 0.68385, Precision: 0.69459, Recall: 0.68385
Attributes: ('volatile acidity', 'free sulfur dioxide', 'alcohol'), Accuracy: 0.72846, Precision: 0.73386, Recall: 0.72846
Attributes: ('volatile acidity', 'total sulfur dioxide', 'density'), Accuracy: 0.70846, Precision: 0.71935, Recall: 0.70846
Attributes: ('volatile acidity', 'total sulfur dioxide', 'pH'), Accuracy: 0.69308, Precision: 0.70100, Recall: 0.69308
Attributes: ('volatile acidity', 'total sulfur dioxide', 'sulphates'), Accuracy: 0.68692, Precision: 0.69474, Recall: 0.68692
Attributes: ('volatile acidity', 'total sulfur dioxide', 'alcohol'), Accuracy: 0.73538, Precision: 0.74951, Recall: 0.73538
Attributes: ('volatile acidity', 'density', 'pH'), Accuracy: 0.70462, Precision: 0.71439, Recall: 0.70462
Attributes: ('volatile acidity', 'density', 'sulphates'), Accuracy: 0.73231, Precision: 0.73476, Recall: 0.73231
Attributes: ('volatile acidity', 'density', 'alcohol'), Accuracy: 0.73077, Precision: 0.74182, Recall: 0.73077
Attributes: ('volatile acidity', 'pH', 'sulphates'), Accuracy: 0.69308, Precision: 0.70466, Recall: 0.69308
Attributes: ('volatile acidity', 'pH', 'alcohol'), Accuracy: 0.71462, Precision: 0.72726, Recall: 0.71462
Attributes: ('volatile acidity', 'sulphates', 'alcohol'), Accuracy: 0.73615, Precision: 0.75519, Recall: 0.73615
Attributes: ('citric acid', 'residual sugar', 'chlorides'), Accuracy: 0.67000, Precision: 0.69475, Recall: 0.67000
Attributes: ('citric acid', 'residual sugar', 'free sulfur dioxide'), Accuracy: 0.66000, Precision: 0.68113, Recall: 0.66000
Attributes: ('citric acid', 'residual sugar', 'total sulfur dioxide'), Accuracy: 0.67154, Precision: 0.68433, Recall: 0.67154
Attributes: ('citric acid', 'residual sugar', 'density'), Accuracy: 0.70308, Precision: 0.71953, Recall: 0.70308
Attributes: ('citric acid', 'residual sugar', 'pH'), Accuracy: 0.68692, Precision: 0.70162, Recall: 0.68692
Attributes: ('citric acid', 'residual sugar', 'sulphates'), Accuracy: 0.67769, Precision: 0.68416, Recall: 0.67769
Attributes: ('citric acid', 'residual sugar', 'alcohol'), Accuracy: 0.70923, Precision: 0.71655, Recall: 0.70923
Attributes: ('citric acid', 'chlorides', 'free sulfur dioxide'), Accuracy: 0.66923, Precision: 0.68308, Recall: 0.66923
Attributes: ('citric acid', 'chlorides', 'total sulfur dioxide'), Accuracy: 0.68769, Precision: 0.69769, Recall: 0.68769
Attributes: ('citric acid', 'chlorides', 'density'), Accuracy: 0.66923, Precision: 0.69920, Recall: 0.66923
Attributes: ('citric acid', 'chlorides', 'pH'), Accuracy: 0.68231, Precision: 0.68267, Recall: 0.68231
Attributes: ('citric acid', 'chlorides', 'sulphates'), Accuracy: 0.67462, Precision: 0.69179, Recall: 0.67462
Attributes: ('citric acid', 'chlorides', 'alcohol'), Accuracy: 0.72462, Precision: 0.73219, Recall: 0.72462
Attributes: ('citric acid', 'free sulfur dioxide', 'total sulfur dioxide'), Accuracy: 0.67385, Precision: 0.69442, Recall: 0.67385
Attributes: ('citric acid', 'free sulfur dioxide', 'density'), Accuracy: 0.69923, Precision: 0.70607, Recall: 0.69923
Attributes: ('citric acid', 'free sulfur dioxide', 'pH'), Accuracy: 0.67462, Precision: 0.68075, Recall: 0.67462
Attributes: ('citric acid', 'free sulfur dioxide', 'sulphates'), Accuracy: 0.68154, Precision: 0.69430, Recall: 0.68154
Attributes: ('citric acid', 'free sulfur dioxide', 'alcohol'), Accuracy: 0.71077, Precision: 0.71823, Recall: 0.71077
Attributes: ('citric acid', 'total sulfur dioxide', 'density'), Accuracy: 0.68692, Precision: 0.69637, Recall: 0.68692
Attributes: ('citric acid', 'total sulfur dioxide', 'pH'), Accuracy: 0.68538, Precision: 0.68706, Recall: 0.68538
Attributes: ('citric acid', 'total sulfur dioxide', 'sulphates'), Accuracy: 0.66615, Precision: 0.67493, Recall: 0.66615
Attributes: ('citric acid', 'total sulfur dioxide', 'alcohol'), Accuracy: 0.71846, Precision: 0.72587, Recall: 0.71846
Attributes: ('citric acid', 'density', 'pH'), Accuracy: 0.71308, Precision: 0.71941, Recall: 0.71308
Attributes: ('citric acid', 'density', 'sulphates'), Accuracy: 0.71154, Precision: 0.71806, Recall: 0.71154
Attributes: ('citric acid', 'density', 'alcohol'), Accuracy: 0.72385, Precision: 0.73295, Recall: 0.72385
Attributes: ('citric acid', 'pH', 'sulphates'), Accuracy: 0.67231, Precision: 0.69257, Recall: 0.67231
Attributes: ('citric acid', 'pH', 'alcohol'), Accuracy: 0.71385, Precision: 0.73126, Recall: 0.71385
Attributes: ('citric acid', 'sulphates', 'alcohol'), Accuracy: 0.75385, Precision: 0.76074, Recall: 0.75385
Attributes: ('residual sugar', 'chlorides', 'free sulfur dioxide'), Accuracy: 0.68923, Precision: 0.69530, Recall: 0.68923
Attributes: ('residual sugar', 'chlorides', 'total sulfur dioxide'), Accuracy: 0.67923, Precision: 0.69431, Recall: 0.67923
Attributes: ('residual sugar', 'chlorides', 'density'), Accuracy: 0.69154, Precision: 0.70694, Recall: 0.69154
Attributes: ('residual sugar', 'chlorides', 'pH'), Accuracy: 0.69692, Precision: 0.70375, Recall: 0.69692
Attributes: ('residual sugar', 'chlorides', 'sulphates'), Accuracy: 0.73615, Precision: 0.74525, Recall: 0.73615
Attributes: ('residual sugar', 'chlorides', 'alcohol'), Accuracy: 0.70538, Precision: 0.72696, Recall: 0.70538
Attributes: ('residual sugar', 'free sulfur dioxide', 'total sulfur dioxide'), Accuracy: 0.69154, Precision: 0.69971, Recall: 0.69154
Attributes: ('residual sugar', 'free sulfur dioxide', 'density'), Accuracy: 0.70692, Precision: 0.72129, Recall: 0.70692
Attributes: ('residual sugar', 'free sulfur dioxide', 'pH'), Accuracy: 0.66769, Precision: 0.68109, Recall: 0.66769
Attributes: ('residual sugar', 'free sulfur dioxide', 'sulphates'), Accuracy: 0.70231, Precision: 0.71299, Recall: 0.70231
Attributes: ('residual sugar', 'free sulfur dioxide', 'alcohol'), Accuracy: 0.74462, Precision: 0.75105, Recall: 0.74462
Attributes: ('residual sugar', 'total sulfur dioxide', 'density'), Accuracy: 0.69846, Precision: 0.70812, Recall: 0.69846
Attributes: ('residual sugar', 'total sulfur dioxide', 'pH'), Accuracy: 0.69538, Precision: 0.70580, Recall: 0.69538
Attributes: ('residual sugar', 'total sulfur dioxide', 'sulphates'), Accuracy: 0.71154, Precision: 0.71316, Recall: 0.71154
Attributes: ('residual sugar', 'total sulfur dioxide', 'alcohol'), Accuracy: 0.71462, Precision: 0.73441, Recall: 0.71462
Attributes: ('residual sugar', 'density', 'pH'), Accuracy: 0.69846, Precision: 0.70956, Recall: 0.69846
Attributes: ('residual sugar', 'density', 'sulphates'), Accuracy: 0.71000, Precision: 0.71843, Recall: 0.71000
Attributes: ('residual sugar', 'density', 'alcohol'), Accuracy: 0.71308, Precision: 0.73176, Recall: 0.71308
